============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v3
FCEUX Lua 5.1 compatible
============================================================
Started frame: 9969

DF/E0/E1 writes are logged directly.
E0 selector is NOT treated as sticky.
C726 caller is reconstructed from the 6502 stack.
C2DA indirect target is captured at C300.
AEEA construction events receive spawn serial numbers.
Spawn delta means frames between AEEA events.
============================================================
EV=000124 F=9974 I=247662242 C=297011842 PC=E01F A=F0 X=0C Y=9C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=9C 0720=B0 0723=12
EV=000125 F=9974 I=247662252 C=297011869 PC=E01F A=F0 X=0C Y=A0 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=A0 0720=B0 0723=12
EV=000126 F=9974 I=247662262 C=297011896 PC=E01F A=F0 X=0C Y=A4 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=A4 0720=B0 0723=12
EV=000127 F=9974 I=247662272 C=297011923 PC=E01F A=F0 X=0C Y=A8 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=A8 0720=B0 0723=12
EV=000128 F=9974 I=247662293 C=297011986 PC=E01F A=00 X=10 Y=00 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=00 0720=B0 0723=12
EV=000129 F=9974 I=247662303 C=297012013 PC=E01F A=F0 X=10 Y=04 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=04 0720=B0 0723=12
EV=000130 F=9974 I=247662313 C=297012040 PC=E01F A=F0 X=10 Y=08 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=08 0720=B0 0723=12
EV=000131 F=9974 I=247662323 C=297012067 PC=E01F A=F0 X=10 Y=0C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=0C 0720=B0 0723=12
EV=000132 F=9974 I=247662333 C=297012094 PC=E01F A=F0 X=10 Y=10 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=10 0720=B0 0723=12
EV=000133 F=9974 I=247662343 C=297012121 PC=E01F A=F0 X=10 Y=14 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=14 0720=B0 0723=12
EV=000134 F=9974 I=247662353 C=297012148 PC=E01F A=F0 X=10 Y=18 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=18 0720=B0 0723=12
EV=000135 F=9974 I=247662363 C=297012175 PC=E01F A=F0 X=10 Y=1C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=1C 0720=B0 0723=12
EV=000136 F=9974 I=247662373 C=297012202 PC=E01F A=F0 X=10 Y=20 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=20 0720=B0 0723=12
EV=000137 F=9974 I=247662383 C=297012229 PC=E01F A=F0 X=10 Y=24 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=24 0720=B0 0723=12
EV=000138 F=9974 I=247662393 C=297012256 PC=E01F A=F0 X=10 Y=28 DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=10 Y=28 0720=B0 0723=12
