
============================================================
Dr. Jekyll and Mr. Hyde RNG / Enemy Spawn investigation
============================================================
Started at frame 9900

Known RNG:
  C535 updates $DF and $E0 every RNG tick.

Known spawn-selection paths:
  $DF & $01 -> observed spawn gate
  $DF & $03 -> observed secondary gate
  ($E0 >> 4) & $07 -> C2DA computed dispatch
  $DF & $07 -> B1F2/B1F3 selection in B14F

Candidate counter:
  $042D = observed B258 gate/counter; NOT YET PROVEN
         to be the global next-enemy spawn timer.

Frame | PC | A X Y | DF E0 E1 | event | details
============================================================
F=9965 PC=C2DA A=00 X=05 Y=01 DF=3A E0=8B E1=CA | C2DA ENTER         | A=00 X=05 Y=01 E0selector=?
F=9965 PC=C317 A=45 X=00 Y=01 DF=3A E0=8B E1=CA | C317 C2DA EXIT     | E0selector=?
F=9965 PC=C2DA A=00 X=00 Y=06 DF=3A E0=8B E1=CA | C2DA ENTER         | A=00 X=00 Y=06 E0selector=?
F=9965 PC=C317 A=D3 X=00 Y=01 DF=3A E0=8B E1=CA | C317 C2DA EXIT     | E0selector=?
F=9965 PC=C726 A=4B X=97 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=4B X=97 E0selector=? DF=3A E0=8B
F=9965 PC=C2DA A=01 X=06 Y=01 DF=3A E0=8B E1=CA | C2DA ENTER         | A=01 X=06 Y=01 E0selector=?
F=9965 PC=C317 A=1C X=00 Y=01 DF=3A E0=8B E1=CA | C317 C2DA EXIT     | E0selector=?
F=9965 PC=E71D A=1C X=00 Y=01 DF=3A E0=8B E1=CA | E71D DF GATE       | DF=3A DF&01=0
F=9965 PC=E659 A=00 X=00 Y=01 DF=3A E0=8B E1=CA | E659 DF GATE       | DF=3A DF&03=2
F=9965 PC=C726 A=09 X=13 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=09 X=13 E0selector=? DF=3A E0=8B
F=9965 PC=C74E A=26 X=07 Y=01 DF=3A E0=8B E1=CA | DF CHANGE          | B5 -> 3A
F=9965 PC=C74E A=26 X=07 Y=01 DF=3A E0=8B E1=CA | E0 CHANGE          | 01 -> 8B
F=9965 PC=C74E A=26 X=07 Y=01 DF=3A E0=8B E1=CA | E1 CHANGE          | C9 -> CA
F=9966 PC=C74C A=91 X=07 Y=01 DF=2C E0=2C E1=CB | DF CHANGE          | 3A -> 2C
F=9966 PC=C74C A=91 X=07 Y=01 DF=2C E0=2C E1=CB | E0 CHANGE          | 8B -> 2C
F=9966 PC=C74C A=91 X=07 Y=01 DF=2C E0=2C E1=CB | E1 CHANGE          | CA -> CB
F=9967 PC=C752 A=00 X=07 Y=01 DF=1F E0=F2 E1=CC | DF CHANGE          | 2C -> 1F
F=9967 PC=C752 A=00 X=07 Y=01 DF=1F E0=F2 E1=CC | E0 CHANGE          | 2C -> F2
F=9967 PC=C752 A=00 X=07 Y=01 DF=1F E0=F2 E1=CC | E1 CHANGE          | CB -> CC
F=9968 PC=C74A A=DA X=07 Y=01 DF=1D E0=9B E1=CD | DF CHANGE          | 1F -> 1D
F=9968 PC=C74A A=DA X=07 Y=01 DF=1D E0=9B E1=CD | E0 CHANGE          | F2 -> 9B
F=9968 PC=C74A A=DA X=07 Y=01 DF=1D E0=9B E1=CD | E1 CHANGE          | CC -> CD
F=9969 PC=C726 A=26 X=4D Y=01 DF=F1 E0=9B E1=CE | C726 QUEUE         | queueID=26 X=4D E0selector=? DF=F1 E0=9B
F=9969 PC=C704 A=BC X=04 Y=AC DF=F1 E0=9B E1=CE | DF CHANGE          | 1D -> F1
F=9969 PC=C704 A=BC X=04 Y=AC DF=F1 E0=9B E1=CE | E1 CHANGE          | CD -> CE
F=9970 PC=C726 A=5E X=BD Y=AC DF=EF E0=28 E1=CF | C726 QUEUE         | queueID=5E X=BD E0selector=? DF=EF E0=28
F=9970 PC=C726 A=01 X=03 Y=AC DF=EF E0=28 E1=CF | C726 QUEUE         | queueID=01 X=03 E0selector=? DF=EF E0=28
F=9970 PC=C2DA A=00 X=0A Y=AC DF=EF E0=28 E1=CF | C2DA ENTER         | A=00 X=0A Y=AC E0selector=?
F=9970 PC=C317 A=45 X=00 Y=01 DF=EF E0=28 E1=CF | C317 C2DA EXIT     | E0selector=?
F=9970 PC=C2DA A=00 X=00 Y=06 DF=EF E0=28 E1=CF | C2DA ENTER         | A=00 X=00 Y=06 E0selector=?
F=9970 PC=C317 A=D3 X=00 Y=01 DF=EF E0=28 E1=CF | C317 C2DA EXIT     | E0selector=?
F=9970 PC=C726 A=4B X=97 Y=01 DF=EF E0=28 E1=CF | C726 QUEUE         | queueID=4B X=97 E0selector=? DF=EF E0=28
F=9970 PC=C2DA A=01 X=0B Y=01 DF=EF E0=28 E1=CF | C2DA ENTER         | A=01 X=0B Y=01 E0selector=?
F=9970 PC=C317 A=1C X=00 Y=01 DF=EF E0=28 E1=CF | C317 C2DA EXIT     | E0selector=?
F=9970 PC=E71D A=1C X=00 Y=01 DF=EF E0=28 E1=CF | E71D DF GATE       | DF=EF DF&01=1
F=9970 PC=C726 A=09 X=13 Y=01 DF=EF E0=28 E1=CF | C726 QUEUE         | queueID=09 X=13 E0selector=? DF=EF E0=28
F=9970 PC=C74A A=53 X=0C Y=01 DF=EF E0=28 E1=CF | DF CHANGE          | F1 -> EF
F=9970 PC=C74A A=53 X=0C Y=01 DF=EF E0=28 E1=CF | E0 CHANGE          | 9B -> 28
F=9970 PC=C74A A=53 X=0C Y=01 DF=EF E0=28 E1=CF | E1 CHANGE          | CE -> CF
F=9971 PC=C74E A=2D X=0C Y=01 DF=D3 E0=1B E1=D0 | DF CHANGE          | EF -> D3
F=9971 PC=C74E A=2D X=0C Y=01 DF=D3 E0=1B E1=D0 | E0 CHANGE          | 28 -> 1B
F=9971 PC=C74E A=2D X=0C Y=01 DF=D3 E0=1B E1=D0 | E1 CHANGE          | CF -> D0
F=9972 PC=C74E A=0E X=0C Y=01 DF=D1 E0=1E E1=D1 | DF CHANGE          | D3 -> D1
