type,frame,pc,input,DF,E0,E1,DF_bit0,DF_low2,DF_low3,E0_shift4_low3,rng_calls,rng_gap,max_rng_gap,0428,042D,048B,queue_slot,queue_addr,queue_value,c726_total,b14f_total,b14f_snapshot
OBJECT,1297,B08A,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,34,$0222,4B,78,0,
FRAME,1297,B08A,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,,,,,78,0,
RNG,1298,C535,-,CD,2F,E3,1,1,5,2,1,1,1,00,00,00,C535,,,78,0,
C726,1298,C726,-,CD,D8,E4,1,1,5,5,1,1,1,00,00,00,C726,,,79,0,
C726,1298,C726,-,CD,D8,E4,1,1,5,5,1,1,1,00,00,00,C726,,,80,0,
C726,1298,C726,-,CD,D8,E4,1,1,5,5,1,1,1,00,00,00,C726,,,81,0,
OBJECT,1298,C74E,-,CD,D8,E4,1,1,5,5,1,1,1,00,00,00,35,$0223,48,81,0,
OBJECT,1298,C74E,-,CD,D8,E4,1,1,5,5,1,1,1,00,00,00,36,$0224,46,81,0,
OBJECT,1298,C74E,-,CD,D8,E4,1,1,5,5,1,1,1,00,00,00,37,$0225,09,81,0,
FRAME,1298,C74E,-,CD,D8,E4,1,1,5,5,1,1,1,00,00,00,,,,,81,0,
